,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
2023-07-21,0.5,0.75,0.5,0.5,0.5,1.0,0.75,0.75,0.5,0.5,0.5
2023-08-18,0.5,0.75,0.25,0.25,0.5,0.75,0.25,0.75,0.5,0.25,0.25
2023-09-15,1.0,0.25,0.5,0.25,0.5,0.5,0.75,0.5,0.25,0.0,0.0
2023-10-13,0.5,0.25,0.25,0.5,0.75,0.25,0.25,0.5,0.5,1.0,0.5
2023-11-10,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.5
2023-12-08,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.75,1.0
2024-01-05,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.75,1.0,0.5,0.75
2024-02-02,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5
2024-03-01,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.75
2024-03-29,0.25,0.25,1.0,0.5,0.5,0.25,0.25,0.0,0.25,0.25,0.25
2024-04-26,0.5,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.5,0.75,0.75
2024-05-24,0.0,0.5,0.0,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75
2024-06-21,0.0,0.75,0.25,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5
2024-07-19,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5
2024-08-16,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2024-09-13,0.5,0.75,0.75,0.75,0.5,0.0,0.25,0.25,0.25,0.25,0.25
2024-10-11,1.0,0.75,0.25,0.25,1.0,0.5,0.5,0.5,0.5,0.5,0.25
2024-11-08,0.25,0.5,0.5,0.5,0.5,0.5,0.75,1.0,0.75,0.75,0.5
2024-12-06,0.75,0.75,1.0,1.0,0.75,0.5,0.25,0.25,0.25,0.25,0.25
